layer,value,count,bec
1,Water,33338,BAFA
1,Snow/Ice,11152292,BAFA
1,Rock/Rubble,13720888,BAFA
1,Exposed/Barren Land,32665846,BAFA
1,Bryoids,21854,BAFA
1,Shrubs,5917970,BAFA
1,Wetland,11174,BAFA
1,Wetland-Treed,1968,BAFA
1,Herbs,3497937,BAFA
1,Coniferous,2102393,BAFA
1,Broadleaf,130782,BAFA
1,Mixed Wood,17074,BAFA
1,Water,182627,BG
1,Snow/Ice,7,BG
1,Rock/Rubble,1742,BG
1,Exposed/Barren Land,923917,BG
1,Shrubs,164859,BG
1,Wetland,3775,BG
1,Wetland-Treed,1057,BG
1,Herbs,1232458,BG
1,Coniferous,189661,BG
1,Broadleaf,11633,BG
1,Mixed Wood,447,BG
1,Water,3969747,BWBS
1,Snow/Ice,33637,BWBS
1,Rock/Rubble,40024,BWBS
1,Exposed/Barren Land,4394230,BWBS
1,Bryoids,35522,BWBS
1,Shrubs,7804522,BWBS
1,Wetland,14533852,BWBS
1,Wetland-Treed,16228741,BWBS
1,Herbs,7692848,BWBS
1,Coniferous,99715243,BWBS
1,Broadleaf,25710707,BWBS
1,Mixed Wood,2102431,BWBS
1,Water,439170,CDF
1,Rock/Rubble,1,CDF
1,Exposed/Barren Land,402088,CDF
1,Shrubs,7772,CDF
1,Wetland,2566,CDF
1,Wetland-Treed,16350,CDF
1,Herbs,724635,CDF
1,Coniferous,874908,CDF
1,Broadleaf,159384,CDF
1,Mixed Wood,22,CDF
1,Water,22382,CMA
1,Snow/Ice,15808560,CMA
1,Rock/Rubble,1900083,CMA
1,Exposed/Barren Land,14924601,CMA
1,Bryoids,51,CMA
1,Shrubs,3220401,CMA
1,Wetland,3315,CMA
1,Wetland-Treed,1282,CMA
1,Herbs,536596,CMA
1,Coniferous,2926416,CMA
1,Broadleaf,215908,CMA
1,Mixed Wood,13976,CMA
1,Water,8724086,CWH
1,Snow/Ice,67764,CWH
1,Rock/Rubble,181838,CWH
1,Exposed/Barren Land,3754773,CWH
1,Shrubs,7117684,CWH
1,Wetland,1405142,CWH
1,Wetland-Treed,1042856,CWH
