ID,forests,bec,cum,min,var,biomass,height,cover
1,81,0,1441.911865234375,0,1341.32568359375,2211,9260,1256
2,81,0,2353.639404296875,0,1491.625,4369,12158,3274
3,81,1,4280.12646484375,46.044593811035156,363.7489318847656,6635,11178,8901
4,81,1,4842.1318359375,0,774.30706787109375,11021,20930,6444
5,81,1,5848.46435546875,138.18443298339844,376.03399658203125,9734,15545,4263
6,81,2,NA,NA,NA,4573,13308,5754
7,81,2,4223.10888671875,0,922.60711669921875,1604,7436,1941
8,81,2,4059.132568359375,0,908.92608642578125,715,5659,339
9,81,2,4603.34130859375,0,863.34515380859375,5287,12382,8180
10,81,2,4575.96923828125,0,741.87774658203125,1300,8574,343
11,81,2,4239.8408203125,0,741.8631591796875,18434,17719,9082
12,81,2,3717.22802734375,0,975.5450439453125,1106,6852,579
13,81,2,4729.01318359375,0,788.0511474609375,3947,9784,5388
14,81,2,3719.392333984375,0,1003.5025024414063,868,5885,408
15,81,2,4142.7265625,0,944.023681640625,2570,8607,3244
16,81,2,4283.31982421875,0,942.5279541015625,3837,12244,3642
17,81,2,3885.07861328125,0,1003.4310302734375,2735,9493,3406
18,81,2,4279.84912109375,0,996.49053955078125,15283,16611,7537
19,81,2,4394.1796875,0,829.1529541015625,2215,8252,2423
20,81,2,4108.23388671875,0,1009.8276977539063,5146,10473,6612
21,81,2,4307.04345703125,0,855.61590576171875,3172,10820,3137
22,81,2,3622.857421875,0,1023.841796875,3025,8953,4946
23,81,2,4776.99462890625,0,799.67645263671875,2840,9050,2197
24,81,2,4691.20556640625,0,916.4178466796875,30058,23579,6161
25,81,2,4182.79736328125,0,1004.2510986328125,7756,12393,9207
26,81,2,4007.0390625,0,975.5390625,1034,6353,586
27,81,2,4338.75634765625,0,868.14190673828125,1903,8772,1185
28,81,2,3850.890380859375,0,1004.0488891601563,1138,7297,604
29,81,2,3858.996826171875,0,1027.8271484375,13832,18983,5957
30,81,2,3396.397705078125,0,1033.6513671875,1574,8229,1056
31,81,2,4895.02392578125,0,756.52325439453125,12066,17894,9070
32,81,2,4113.82763671875,0,936.48529052734375,1676,6550,3015
33,81,2,4788.658203125,0,713.14593505859375,6554,14444,6188
34,81,2,3961.31591796875,0,906.28839111328125,1049,6646,451
35,81,2,3966.25537109375,0,1001.9658203125,3887,10788,3650
36,81,2,3877.256591796875,0,1001.9264526367188,1563,7678,1389
37,81,2,4397.8134765625,0,836.72442626953125,801,6074,425
38,81,2,3573.097412109375,0,972.16748046875,1032,6870,388
39,81,2,3619.433837890625,0,1030.8026123046875,1497,8242,801
40,81,2,3460.848876953125,0,917.724609375,9637,15991,7347
41,81,2,4048.868408203125,0,1003.6203002929688,3837,12244,3642
42,81,2,3925.809814453125,0,1002.562744140625,2549,8799,2563
43,81,2,4367.53515625,0,784.89007568359375,2530,9854,1893
44,81,2,4198.34228515625,0,858.2816162109375,2961,8738,5595
45,81,2,4266.31201171875,0,793.949462890625,1138,7297,604
46,81,2,4248.69775390625,0,985.0697021484375,10165,16148,5871
47,81,2,4308.43701171875,0,943.19927978515625,2781,9176,2894
48,81,2,3714.74072265625,0,1016.5773315429688,3371,8681,6536
49,81,2,4164.51806640625,0,956.69976806640625,2228,9366,1402
50,81,2,3636.927734375,0,1034.013427734375,3522,11061,4232
51,81,2,4542.52783203125,0,727.617919921875,570,5588,137
52,81,2,4243.533203125,0,962.9588623046875,7193,11042,9533
53,81,2,3985.5537109375,0,1005.0887451171875,6145,11111,8968
54,81,2,3928.82275390625,0,1004.3521118164063,1999,7916,1934
55,81,2,4148.4736328125,0,773.70611572265625,707,5586,358
56,81,2,5056.2353515625,0,646.6617431640625,7394,14898,4030
57,81,2,4080.032958984375,0,831.037109375,2228,9366,1402
58,81,2,3814.554931640625,0,1013.6218872070313,801,6074,425
59,81,2,4857.87646484375,0,650.7220458984375,23330,21355,6633
60,81,2,3934.843017578125,0,1016.4409790039063,2570,8607,3244
61,81,2,5121.8603515625,0,724.44683837890625,8287,13148,8677
62,81,2,5611.70703125,0,620.8011474609375,18573,19172,8629
63,81,2,4213.2392578125,0,865.15869140625,1252,6663,1047
64,81,2,4211.486328125,0,931.38226318359375,1262,7591,761
65,81,2,3992.400146484375,0,992.98736572265625,6984,15281,5185
66,81,2,4685.861328125,0,874.34698486328125,10523,14665,8670
67,81,2,3702.71044921875,0,1003.7063598632813,1904,8939,870
68,81,2,4753.98974609375,0,804.49957275390625,8368,13666,8424
69,81,2,4549.55126953125,0,810.33465576171875,1432,7233,1206
70,81,2,5424.97509765625,128.2654571533203,707.3690185546875,10314,17162,7886
71,81,2,5433.74560546875,0,648.153076171875,7394,14898,4030
72,81,2,2796.958740234375,0,836.1676025390625,19900,18569,9235
73,81,2,4379.81494140625,0,764.94317626953125,989,6295,784
