layer,value,count,tile
1,BAFA,3558,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,BWBS,2114308,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,CMA,2223,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,CWH,197768,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,ESSF,733832,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,MH,153652,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,SBS,472920,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,SWB,781931,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_1.dat
1,CMA,283,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_11.dat
1,CWH,2158719,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_11.dat
1,MH,61237,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_11.dat
1,BAFA,29900,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,CMA,13439,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,CWH,10292773,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,ESSF,2817123,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,ICH,2122559,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,MH,3985460,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,SBS,308980,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_12.dat
1,BAFA,8818,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,BWBS,36019,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,CMA,81,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,CWH,79908,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,ESSF,10732964,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,ICH,322941,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,MH,25231,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,SBPS,256804,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,SBS,21551820,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_13.dat
1,BAFA,66779,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_14.dat
1,BWBS,3698819,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_14.dat
1,ESSF,10708360,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_14.dat
1,ICH,2277291,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_14.dat
1,IMA,3197,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_14.dat
1,SBS,5386676,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_14.dat
1,CMA,128,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_16.dat
1,CWH,182243,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_16.dat
1,MH,20128,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_16.dat
1,CMA,31790,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_17.dat
1,CWH,7256370,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_17.dat
1,MH,497689,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_17.dat
1,BAFA,171241,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,BG,2411,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,CMA,194036,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,CWH,5404696,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,ESSF,3145386,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,IDF,1607033,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,IMA,2285,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,MH,2017610,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,MS,4354234,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,SBPS,5272840,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,SBS,1387742,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_18.dat
1,BAFA,10,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,BG,39602,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,ESSF,10486924,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,ICH,10252756,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,IDF,5666279,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,IMA,1485,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,MS,1021807,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,PP,24860,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,SBPS,288120,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,SBS,3882096,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_19.dat
1,BAFA,8586,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_2.dat
1,BWBS,12818302,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_2.dat
1,CMA,5660,E:/Sync/Masters/analysis_sem/scratch/suit/suit-b-tile_2.dat
